department,program,year,subjects
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,CONSTITUTIONAL LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ECONOMIC STATISTICS
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,ELP - GLOBAL ENGLISH FOR LEGAL STUDIES
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,FINAL EXAM
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,FOUNDATIONS AND HISTORY OF LAW (C.I.)
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,LABOUR ECONOMICS
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,LEGAL FRENCH
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,PRIVATE LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,1,SOCIOLOGY OF LABOUR
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,ADMINISTRATIVE LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,BUSINESS ECONOMICS AND ORGANIZATION OF WORK
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,COMMERCIAL LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,FINANCIAL ACCOUNTING
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,LABOUR LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,METHODOLOGY AND LAW COMPUTER SCIENCE
Law School,[GI2902] EMPLOYMENT CONSULTANCY,2,SOCIAL INSURANCE LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,CASE STUDIES IN THE ECONOMIC-LEGAL AREA
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,FINANCIAL AND ECONOMIC ANALYSIS
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,LABOUR CRIMINAL LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,LABOUR DISPUTES
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,LABOUR LAW IN THE EUROPEAN UNION
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,PUBLIC EMPLOYMENT LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,TAX LAW
Law School,[GI2902] EMPLOYMENT CONSULTANCY,3,TRADE UNION LAW AND APPLIED LABOUR LAW
Law School,[GI2903] LAW & TECHNOLOGY,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2903] LAW & TECHNOLOGY,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2903] LAW & TECHNOLOGY,1,"CONSTITUTIONAL RIGHTS, DIGITAL TECHNOLOGIES AND ARTIFICIAL INTELLIGENCE"
Law School,[GI2903] LAW & TECHNOLOGY,1,"CRIMINAL LAW, ROBOTICS AND ARTIFICIAL INTELLIGENCE"
Law School,[GI2903] LAW & TECHNOLOGY,1,DIGITAL AWARENESS
Law School,[GI2903] LAW & TECHNOLOGY,1,DIGITAL MARKETS ECONOMY
Law School,[GI2903] LAW & TECHNOLOGY,1,ELEMENTS OF INTERNATIONAL LAW AND CYBERSPACE
Law School,[GI2903] LAW & TECHNOLOGY,1,ETHICS AND LEGAL INFORMATICS
Law School,[GI2903] LAW & TECHNOLOGY,1,FINAL EXAM
Law School,[GI2903] LAW & TECHNOLOGY,1,FOUNDATIONS OF EUROPEAN LAW
Law School,[GI2903] LAW & TECHNOLOGY,1,MODERNITY AND TECHNOLAW
Law School,[GI2903] LAW & TECHNOLOGY,1,PRIVATE LAW AND COMPUTER SCIENCE
Law School,[GI2903] LAW & TECHNOLOGY,2,ACCOUNTING AND COMPLIANCE
Law School,[GI2903] LAW & TECHNOLOGY,2,BLOCKCHAIN AND SMART CONTRACTS
Law School,[GI2903] LAW & TECHNOLOGY,2,COMPANY AND FINANCIAL TECHNOLOGY LAW
Law School,[GI2903] LAW & TECHNOLOGY,2,DATA ACCESS AND WEB
Law School,[GI2903] LAW & TECHNOLOGY,2,EU LAW ON DATA AND TECHNOLOGIES
Law School,[GI2903] LAW & TECHNOLOGY,2,FINANCIAL TECHNOLOGY
Law School,[GI2903] LAW & TECHNOLOGY,2,"INTELLECTUAL PROPERTY, COMPETITION AND INFORMATION TECHNOLOGY"
Law School,[GI2903] LAW & TECHNOLOGY,2,LEGAL ENGLISH
Law School,[GI2903] LAW & TECHNOLOGY,3,ARTIFICIAL INTELLIGENCE
Law School,[GI2903] LAW & TECHNOLOGY,3,BUSINESS PLANS FOR DIGITAL BUSINESS MODELS
Law School,[GI2903] LAW & TECHNOLOGY,3,"CORPORATE GOVERNANCE, CORPORATE SOCIAL RESPONSIBILITY AND VOLUNTARY CODES"
Law School,[GI2903] LAW & TECHNOLOGY,3,CYBERSECURITY AND RISK MANAGEMENT
Law School,[GI2903] LAW & TECHNOLOGY,3,DATA ANALYSIS
Law School,[GI2903] LAW & TECHNOLOGY,3,DIGITAL ERA TECHNOLOGIES
Law School,[GI2903] LAW & TECHNOLOGY,3,"DIGITAL MARKET LAW: RULES, CASES AND ENFORCEMENT"
Law School,[GI2903] LAW & TECHNOLOGY,3,ECONOMICS AND MANAGEMENT OF INNOVATION
Law School,[GI2903] LAW & TECHNOLOGY,3,INDUSTRIAL ORGANIZATION AND ANTITRUST
Law School,[GI2903] LAW & TECHNOLOGY,3,INSTITUTIONS OF MATHEMATICS
Law School,[GI2903] LAW & TECHNOLOGY,3,INTERNATIONAL LAW AND CYBER DOMAIN
Law School,[GI2903] LAW & TECHNOLOGY,3,INTERNET OF THINGS
Law School,[GI2903] LAW & TECHNOLOGY,3,LAW FOR DIGITAL FORENSINCS
Law School,[GI2903] LAW & TECHNOLOGY,3,LAW OF DIGITAL ADMINISTRATION
Law School,[GI2903] LAW & TECHNOLOGY,3,LEGAL DESIGN
Law School,[GI2903] LAW & TECHNOLOGY,3,MULTIMEDIA AND DATA FORENSICS
Law School,[GI2903] LAW & TECHNOLOGY,3,ORGANIZATION FOR PROFESSIONAL FIRMS
Law School,[GI2903] LAW & TECHNOLOGY,3,PRIVACY AND AI REGULATION IN CONTEXT
Law School,[GI2903] LAW & TECHNOLOGY,3,PROBABILITY AND STATISTICS
Law School,[GI2903] LAW & TECHNOLOGY,3,STANDARDS AND REGULATIONS FOR ICT SYSTEMS
Law School,[GI2903] LAW & TECHNOLOGY,3,TRADING ON CAPITAL MARKETS
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,ETHIC AND LAW OF THE COMMON GOOD
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,FINAL EXAM
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,FOUNDATIONS OF EUROPEAN LAW AND OF THE LAW OF COLLECTIVE ENTITIES AND HISTORICAL DEVELOPMENT OF VOLOUNTARISM AND WELFARE (C.I.)
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,LEGAL ENGLISH
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,PPRINCIPLES OF PRIVATE LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,PUBLIC LAW AND CONSTITUTIONAL LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,RELIGIOUS AND NON-CONFESSIONAL ORGANIZATIONS LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,1,THIRD SECTOR INTERNATIONAL AND EU LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,ANTI-DISCRIMINATION LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,CHARITABLE FINANCIAL FOUNDATIONS LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,CORPORATION AND SUSTAINABILITY: THEORY AND PRACTICE
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,ECOMOMIC SICURITY LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,EDUCATION PSYCHOLOGY
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,IMMIGRATION LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,MARKETING AND FUNDRAISING FOR THE THIRD SECTOR
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,MULTICULTURALISM LAW: THEORY AND WORKSHOP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,PSYCHOLOGY OF THE RELATIONSHIPS IN COMMUNITIES AND CONTEXTS: THEORY AND WORKSHOP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,SOCIOLOGYOF THE THIRD SECTOR AND THE ORGANISATIONS NETWORKS
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,THIRD SECTOR ADMINISTRATIVE LAW: THEORY AND WORKSHOP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,THIRD SECTOR PRIVATE LAW: THEORY AND WORKSHOP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,2,VOLUNTARY WORK PSYCHOLOGY
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,ALTERNATIVE DISPUTE RESOLUTION: THEORY AND WORKSHOP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,EDUCATIONAL INTERNSHIP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,FAIR PLAY AND SPORT LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,SUSTAINABLE FINANCE LAW AND SUSTAINABLE LOCAL ECONOMIES (C.I.)
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,THIRD SECTOR CRIMINAL LAW AND PENITENTIARY LAW
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,THIRD SECTOR LABOUR LAW: THEORY AND WORKSHOP
Law School,[GI2904] THIRD SECTOR LEGAL ADVISOR,3,THIRD SECTOR TAX LAW AND ACCOUNTING FOR NON-PROFIT ORGANIZATIONS (C.I.)
Law School,[GI2905] LAW,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2905] LAW,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2905] LAW,1,CANON LAW
Law School,[GI2905] LAW,1,FINAL EXAM
Law School,[GI2905] LAW,1,INSTITUTES OF ROMAN LAW
Law School,[GI2905] LAW,1,PHILOSOPHY OF LAW
Law School,[GI2905] LAW,1,PRIVATE LAW 2
Law School,[GI2905] LAW,1,PRIVATE LAW 1
Law School,[GI2905] LAW,1,PUBLIC LAW
Law School,[GI2905] LAW,2,CIVIL PROCEDURE (DDP)
Law School,[GI2905] LAW,2,COMMERCIAL LAW
Law School,[GI2905] LAW,2,COMMERCIAL LAW (DDP)
Law School,[GI2905] LAW,2,CONSTITUTIONAL LAW
Law School,[GI2905] LAW,2,ELP - GLOBAL ENGLISH FOR LEGAL STUDIES
Law School,[GI2905] LAW,2,LABOUR LAW
Law School,[GI2905] LAW,2,LEGAL FRENCH
Law School,[GI2905] LAW,2,PRINCIPLES OF ECONOMICS
Law School,[GI2905] LAW,2,PRINCIPLES OF ECONOMICS (DDP)
Law School,[GI2905] LAW,3,ALTERNATIVE DISPUTE RESOLUTION
Law School,[GI2905] LAW,3,ARBITRATION LAW
Law School,[GI2905] LAW,3,BANKING LAW
Law School,[GI2905] LAW,3,BUSINESS ADMINISTRATION
Law School,[GI2905] LAW,3,CHURCH LAW
Law School,[GI2905] LAW,3,CIVIL LAW: LEGAL WRITING
Law School,[GI2905] LAW,3,COMMERCIAL CRIMINAL LAW
Law School,[GI2905] LAW,3,COMMERCIAL LAW 2:  PUBLIC COMPANIES AND FINANCIAL INSTITUTIONS
Law School,[GI2905] LAW,3,COMPARATIVE CRIMINAL LAW
Law School,[GI2905] LAW,3,COMPARATIVE PUBLIC LAW
Law School,[GI2905] LAW,3,CONSTITUTIONAL CASE LAW AND PROCEDURE
Law School,[GI2905] LAW,3,CONSTITUTIONAL REGIONAL LAW
Law School,[GI2905] LAW,3,CONSUMER LAW
Law School,[GI2905] LAW,3,CONTRACT HISTORY AND DOGMATICS
Law School,[GI2905] LAW,3,CORPORATION TAX LAW
Law School,[GI2905] LAW,3,CRIMINAL LAW 1
Law School,[GI2905] LAW,3,CRIMINAL LAW 2
Law School,[GI2905] LAW,3,CRIMINAL LAW AND ECONOMICS
Law School,[GI2905] LAW,3,CRIMINAL LAW ENFORCEMENT
Law School,[GI2905] LAW,3,CRITICAL ANALYSIS OF THE SOCIAL SOURCES OF LAW
Law School,[GI2905] LAW,3,CULTURAL HERITAGE LAW
Law School,[GI2905] LAW,3,ECONOMIC POLICY FOR TEACHING LEGAL AND ECONOMICS SCIENCE
Law School,[GI2905] LAW,3,ECONOMICS OF CONTRACTS AND INCENTIVES
Law School,[GI2905] LAW,3,ELEMENTS OF PUBLIC ACCOUNTING
Law School,[GI2905] LAW,3,ENVIRONMENT LAW
Law School,[GI2905] LAW,3,EUROPEAN CONTRACT LAW
Law School,[GI2905] LAW,3,EUROPEAN CRIMINAL PROCEDURE
Law School,[GI2905] LAW,3,EUROPEAN PRIVATE AND COMPARATIVE LAW
Law School,[GI2905] LAW,3,EUROPEAN UNION LAW
Law School,[GI2905] LAW,3,EUROPEAN UNION PRIVATE LAW
Law School,[GI2905] LAW,3,EXECUTION OF CIVIL JUDGMENTS
Law School,[GI2905] LAW,3,FAMILY LAW IN ACTION
Law School,[GI2905] LAW,3,FORENSIC MEDICINE
Law School,[GI2905] LAW,3,FORENSIC NEUROSCIENCE
Law School,[GI2905] LAW,3,FOUNDATIONS OF EUROPEAN LAW
Law School,[GI2905] LAW,3,GENERATIONAL TRANSMISSION OF HERITAGE IN CONTEMPORARY LEGAL SYSTEMS
Law School,[GI2905] LAW,3,GREEK LEGAL SYSTEMS
Law School,[GI2905] LAW,3,HISTORY OF FAMILY LAW
Law School,[GI2905] LAW,3,HISTORY OF LAW
Law School,[GI2905] LAW,3,HISTORY OF ROMAN LEGAL THOUGHT
Law School,[GI2905] LAW,3,IMMIGRATION LAW
Law School,[GI2905] LAW,3,INDUSTRIAL ORGANIZATION AND ANTITRUST
Law School,[GI2905] LAW,3,INSOLVENCY LAW
Law School,[GI2905] LAW,3,INTERNATIONAL ECONOMICS
Law School,[GI2905] LAW,3,INTERNATIONAL LAW
Law School,[GI2905] LAW,3,INTERNATIONAL PRIVATE LAW
Law School,[GI2905] LAW,3,INTERNATIONAL PROTECTION OF HUMAN RIGHTS
Law School,[GI2905] LAW,3,INTERNATIONAL TRADE AND INVESTMENT LAW
Law School,[GI2905] LAW,3,"INTERNATIONAL, EUROPEAN AND TRANSNATIONAL CRIMINAL LAW"
Law School,[GI2905] LAW,3,INTRODUCTION TO PUBLIC AND CIVIL FRENCH LAW
Law School,[GI2905] LAW,3,JUDICIAL LAW TECHNIQUE
Law School,[GI2905] LAW,3,JUDICIARY AND FORENSIC SYSTEM
Law School,[GI2905] LAW,3,LABOUR CRIMINAL LAW
Law School,[GI2905] LAW,3,LABOUR LAW IN THE EUROPEAN UNION
Law School,[GI2905] LAW,3,LABOUR LAW: HEALTH AND PRIVACY PROTECTION AT WORK
Law School,[GI2905] LAW,3,LAW OF INSOLVENCY AND REORGANIZATION PROCEDURES
Law School,[GI2905] LAW,3,LAW OF PROCEEDINGS FOR ENFORGEMENT IN IMMOVABLES
Law School,[GI2905] LAW,3,"LAW, INCLUSION, VULNERABILITY EQUALITY STUDIES (JEAN MONNET MODULE)"
Law School,[GI2905] LAW,3,LEGAL EDUCATION METHODOLOGY
Law School,[GI2905] LAW,3,NAVIGATION LAW
Law School,[GI2905] LAW,3,NEW TECHNOLOGY LAW
Law School,[GI2905] LAW,3,PENAL LAW: LEGAL WRITING
Law School,[GI2905] LAW,3,PRINCIPLES OF FINANCE AND CORPORATE FINANCE
Law School,[GI2905] LAW,3,PRIVATE COMPARATIVE LAW
Law School,[GI2905] LAW,3,PSYCHOLOGY OF JUDGEMENT AND DECISION-MAKING
Law School,[GI2905] LAW,3,PUBLIC PROCUREMENT PROCEDURE
Law School,[GI2905] LAW,3,REAL ESTATE LAW
Law School,[GI2905] LAW,3,ROMAN CRIMINAL LAW
Law School,[GI2905] LAW,3,SCIENCE OF ADMINISTRATION
Law School,[GI2905] LAW,3,SOCIAL INSURANCE LAW
Law School,[GI2905] LAW,3,SUBSTANTIVE COMPETITION AND INTELLECTUAL PROPERTY LAW
Law School,[GI2905] LAW,3,TECHNIQUE OF LEGAL INTERPRETATION
Law School,[GI2905] LAW,3,THEORY AND HISTORY OF JUDICIAL RHETORIC
Law School,[GI2905] LAW,3,TORT LAW
Law School,[GI2905] LAW,3,TOWN-PLANNING LAW
Law School,[GI2905] LAW,3,VENETIAN LAW HISTORY
Law School,[GI2905] LAW,3,WESTERN CONSTITUTIONAL PATTERNS
Law School,[GI2905] LAW,4,ADMINISTRATIVE LAW
Law School,[GI2905] LAW,4,CIVIL LAW
Law School,[GI2905] LAW,4,CIVIL PROCEDURE
Law School,[GI2905] LAW,4,LAW COMPUTER SCIENCE
Law School,[GI2905] LAW,4,LEGAL METHODOLOGY AND LOGIC
Law School,[GI2905] LAW,4,PUBLIC ETHICS
Law School,[GI2905] LAW,4,TAX LAW
Law School,[GI2905] LAW,5,ADMINISTRATIVE CASE LAW AND PROCEDURE
Law School,[GI2905] LAW,5,ADMINISTRATIVE LAW AND PROCEDURE CLINIC
Law School,[GI2905] LAW,5,CIVIL LAW CLINIC
Law School,[GI2905] LAW,5,CIVIL PROCEDURE CLINIC
Law School,[GI2905] LAW,5,CLINIC ON METHODOLOGY OF CREATION OF CURRENT LAW BY THE COURTS
Law School,[GI2905] LAW,5,CLINICAL LEGAL EDUCATION
Law School,[GI2905] LAW,5,COMMERCIAL LAW CLINIC
Law School,[GI2905] LAW,5,CRIMINAL LAW AND PROCEDURE CLINIC
Law School,[GI2905] LAW,5,CRIMINAL PROCEDURE
Law School,[GI2905] LAW,5,EU LAW CLINIC
Law School,[GI2905] LAW,5,FOUNDATIONS AND DEVELOPMENTS OF THE EUROPEAN LEGAL SCIENCE
Law School,[GI2905] LAW,5,INTERNATIONAL LAW MOOT COURT COMPETITION
Law School,[GI2905] LAW,5,LABOUR LAW CLINIC
Law School,[GI2905] LAW,5,LEGAL CLINIC ON COMMONS AND COLLECTIVE LAND RIGHTS
Law School,[GI2905] LAW,5,LEGAL INTERPRETATION TECHNIQUE CLINIC IN PROFESSIONAL AND COURT PROCEEDINGS EXPERIENCE
Law School,[GI2905] LAW,5,ROMAN LAW
Law School,[GI2905] LAW,5,TRIAL SIMULATION IN ROMAN LAW
Law School,[GI2906] LAW,1,ADDITIONAL LEARNING REQUIREMENT: EFFECTIVE USE OF ENGLISH
Law School,[GI2906] LAW,1,ADDITIONAL LEARNING REQUIREMENT: LOGICS AND USE OF ITALIAN LANGUAGE
Law School,[GI2906] LAW,1,COMPARATIVE LEGAL SYSTEMS
Law School,[GI2906] LAW,1,CONSTITUTIONAL LAW
Law School,[GI2906] LAW,1,ELP - GLOBAL ENGLISH FOR LEGAL STUDIES
Law School,[GI2906] LAW,1,FINAL EXAM
Law School,[GI2906] LAW,1,PHILOSOPHY OF LAW
Law School,[GI2906] LAW,1,PRIVATE LAW 1
Law School,[GI2906] LAW,1,PRIVATE LAW 2
Law School,[GI2906] LAW,1,PRIVATE ROMAN LAW
Law School,[GI2906] LAW,2,BUSINESS ECONOMICS AND FINANCE
Law School,[GI2906] LAW,2,CONSTITUTIONAL ECONOMIC LAW
Law School,[GI2906] LAW,2,EUROPEAN UNION LAW
Law School,[GI2906] LAW,2,HISTORICAL METHODS OF PRIVATE LAW
Law School,[GI2906] LAW,2,INTERNATIONAL LAW
Law School,[GI2906] LAW,2,LABOUR LAW
Law School,[GI2906] LAW,2,LAW OF PUBBLIC CONTRACTS
Law School,[GI2906] LAW,2,NON-PROFIT ORGANIZATIONS LAW
Law School,[GI2906] LAW,3,ADMINISTRATIVE LAW
Law School,[GI2906] LAW,3,AGRI-FOOD LAW
Law School,[GI2906] LAW,3,ANTI-CORRUPTION LAW
Law School,[GI2906] LAW,3,ARBITRATION LAW
Law School,[GI2906] LAW,3,CIVIL LAW
Law School,[GI2906] LAW,3,COMMERCIAL CRIMINAL LAW
Law School,[GI2906] LAW,3,COMMERCIAL LAW
Law School,[GI2906] LAW,3,CRIMINAL LAW OF COMPUTER SCIENCE
Law School,[GI2906] LAW,3,CRIMINAL PROCEDURE OF COMPUTER SCIENCE
Law School,[GI2906] LAW,3,ECONOMIC ANALYSIS FOR LEGAL STUDIES
Law School,[GI2906] LAW,3,ENVIRONMENT LAW
Law School,[GI2906] LAW,3,EUROPEAN CONTRACT LAW
Law School,[GI2906] LAW,3,IMMIGRATION LAW
Law School,[GI2906] LAW,3,INSOLVENCY LAW
Law School,[GI2906] LAW,3,INTERNATIONAL PRIVATE LAW
Law School,[GI2906] LAW,3,JUDICIAL PROTECTION IN BUSINESS DISPUTES
Law School,[GI2906] LAW,3,LABOUR LAW IN THE EUROPEAN UNION
Law School,[GI2906] LAW,3,PUBLIC ROMAN LAW
Law School,[GI2906] LAW,3,SOCIAL INSURANCE LAW
Law School,[GI2906] LAW,3,SUBSTANTIVE COMPETITION AND INTELLECTUAL PROPERTY LAW
Law School,[GI2906] LAW,3,TAX LAW
Law School,[GI2906] LAW,4,ADVANCED COMMERCIAL LAW
Law School,[GI2906] LAW,4,CIVIL PROCEDURE
Law School,[GI2906] LAW,4,CRIMINAL LAW AND CRIMINAL LAW OF ECONOMICS (C.I.)
Law School,[GI2906] LAW,4,FOUNDATIONS OF EUROPEAN LAW
Law School,[GI2906] LAW,4,INTERNATIONAL ECONOMIC LAW
Law School,[GI2906] LAW,5,ADMINISTRATIVE CASE LAW AND PROCEDURE
Law School,[GI2906] LAW,5,CRIMINAL PROCEDURE
Law School,[GI2906] LAW,5,INTERNATIONAL TRADE AND TAXATION LAW
Law School,[GI2906] LAW,5,LAW COMPUTER SCIENCE
Law School,[GI2906] LAW,5,LEGAL CLINIC
Law School,[GI2906] LAW,5,METHODOLOGY OF LEGAL WRITING
Law School,[GI2906] LAW,5,WORK PLACEMENT AND TRAINING
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,BASIC BIOLOGY OF VEGETABLE CROPS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,BIODIVERSITY AND SOIL FERTILITY
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,BIOLOGICAL CONTROL OF INSECT PESTS AND IMPORTANCE OF ECOLOGICAL INFRASTRUCTURES
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,BIOLOGY ADDITIONAL LEARNING REQUIREMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,CHEMISTRY ADDITIONAL LEARNING REQUIREMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,ENGLISH LANGUAGE
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,FUNDAMENTALS OF GENERAL AND AGRICULTURAL CHEMISTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,LEGISLATION AND CERTIFICATION OF ORGANIC PRODUCTIONS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,ORGANIC AGRONOMY
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,ORGANIC CULTIVATION OF HERBACEOUS CROPS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,ORGANIC CULTIVATION OF HORTICULTURAL CROPS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,ORGANIC FARM MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,ORGANIC FRUIT AND VITICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,PLANT DISEASE CONTROL IN ORGANIC CROPS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,1,PROACTIVE WEED MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,INNOVATIVE TECHNOLOGIES IN ORGANIC FARMING
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF CONTROL AND INSPECTION PROCEDURES OF CERTIFIED FIRMS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF HERBACEOUS CROPS DESIGN IN ORGANIC FARMING
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF INSECT PEST CONTROL AND ECOLOGICAL INFRASTRUCTURE MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF PLANT PATHOGENS MANAGEMENT IN ORGANIC CROPS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF PRACTICAL STEPS TO SOIL FERTILITY FOR ORGANIC CROPS
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,"LABORATORY OF SUSTAINABILITY, MARKETS AND MARKETING OF ORGANIC PRODUCTIONS"
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF TECHNOLOGIES APPLICATION IN ORGANIC FARMING
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF VEGETABLE CROPS DESIGN IN ORGANIC FARMING
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LABORATORY OF VINEYARD AND ORCHARD DESIGN IN ORGANIC FARMING
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,"LABORATORY OF WEEDS RECOGNITION AND SCOUTING, PREDICTIVE MODELS AND WEED MAPPING"
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,2,LIVESTOCK AND CIRCULARITY OF ORGANIC FARM
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,3,FINAL EXAM
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,3,PRACTICAL ASSESSMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2600] ORGANIC CROP MANAGEMENT,3,PRACTICAL EVALUATIVE INTERNSHIP
School of Agricultural Sciences and Veterinary Medicine,[AV2868] MANAGEMENT AND PLANNING OF LAND AND GREEN INFRASTRUCTURES,1,BASIC PRINCIPLES OF INORGANIC AND ORGANIC CHEMISTRY
